iter	Passed	Remaining
0	0	16
1	0	14
2	0	14
3	0	14
4	0	13
5	0	13
6	1	13
7	1	13
8	1	12
9	1	12
10	1	12
11	1	12
12	1	12
13	2	12
14	2	12
15	2	12
16	2	11
17	2	11
18	2	11
19	2	11
20	2	11
21	3	10
22	3	10
23	3	10
24	3	10
25	3	10
26	3	10
27	3	10
28	4	9
29	4	9
30	4	9
31	4	9
32	4	9
33	4	8
34	4	8
35	4	8
36	5	8
37	5	8
38	5	8
39	5	8
40	5	8
41	5	8
42	5	7
43	6	7
44	6	7
45	6	7
46	6	7
47	6	7
48	6	7
49	7	7
50	7	6
51	7	6
52	7	6
53	7	6
54	7	6
55	7	6
56	8	6
57	8	5
58	8	5
59	8	5
60	8	5
61	8	5
62	8	5
63	9	5
64	9	4
65	9	4
66	9	4
67	9	4
68	9	4
69	9	4
70	9	4
71	10	3
72	10	3
73	10	3
74	10	3
75	10	3
76	10	3
77	11	3
78	11	2
79	11	2
80	11	2
81	11	2
82	11	2
83	11	2
84	12	2
85	12	1
86	12	1
87	12	1
88	12	1
89	12	1
90	12	1
91	13	1
92	13	0
93	13	0
94	13	0
95	13	0
96	13	0
97	14	0
98	14	0
99	14	0
