iter	Passed	Remaining
0	57	57571
1	57	28888
2	58	19375
3	58	14576
4	58	11693
5	58	9769
6	59	8401
7	59	7372
8	59	6570
9	59	5930
10	60	5406
11	60	4970
12	60	4599
13	60	4284
14	61	4011
15	61	3770
16	61	3558
17	61	3369
18	61	3200
19	62	3050
20	62	2912
21	62	2786
22	62	2671
23	63	2566
24	63	2469
25	63	2379
26	63	2296
27	63	2218
28	64	2147
29	64	2080
30	64	2018
31	64	1959
32	65	1904
33	65	1852
34	65	1806
35	65	1760
36	66	1717
37	66	1677
38	66	1637
39	66	1601
40	67	1567
41	67	1533
42	67	1502
43	67	1471
44	67	1441
45	68	1413
46	68	1385
47	68	1359
48	68	1335
49	69	1311
50	69	1287
51	69	1265
52	69	1243
53	69	1223
54	70	1204
55	70	1185
56	70	1166
57	70	1148
58	70	1132
59	71	1115
60	71	1099
61	71	1083
62	71	1068
63	72	1053
64	72	1038
65	72	1024
66	72	1011
67	72	998
68	73	985
69	73	974
70	73	961
71	73	951
72	74	939
73	74	928
74	74	917
75	74	907
76	74	897
77	75	887
78	75	877
79	75	869
80	75	861
81	76	851
82	76	841
83	76	832
84	76	824
85	76	816
86	76	807
87	77	799
88	77	792
89	77	785
90	77	777
91	78	770
92	78	763
93	78	756
94	78	749
95	78	742
96	79	736
97	79	729
98	79	723
99	79	717
100	79	710
101	80	704
102	80	699
103	80	693
104	80	689
105	81	683
106	81	678
107	81	672
108	81	667
109	81	662
110	82	657
111	82	652
112	82	647
113	82	642
114	82	637
115	83	633
116	83	628
117	83	623
118	83	619
119	83	614
120	84	610
121	84	605
122	84	601
123	84	597
124	84	593
125	84	589
126	85	584
127	85	581
128	85	577
129	85	573
130	85	569
131	86	566
132	86	562
133	86	558
134	86	555
135	86	551
136	87	548
137	87	545
138	87	542
139	87	540
140	88	536
141	88	533
142	88	530
143	88	527
144	88	524
145	89	521
146	89	518
147	89	515
148	89	512
149	89	509
150	90	506
151	90	503
152	90	501
153	90	498
154	90	495
155	91	492
156	91	490
157	91	487
158	91	485
159	91	482
160	91	479
161	92	476
162	92	474
163	92	472
164	92	469
165	92	467
166	93	464
167	93	462
168	93	460
169	93	458
170	94	455
171	94	453
172	94	451
173	94	449
174	94	447
175	95	444
176	95	442
177	95	440
178	95	438
179	95	436
180	96	434
181	96	433
182	96	431
183	96	429
184	96	427
185	97	425
186	97	423
187	97	421
188	97	419
189	97	417
190	98	415
191	98	413
192	98	412
193	98	410
194	98	408
195	99	406
196	99	405
197	99	403
198	99	401
199	100	400
200	100	398
201	100	397
202	100	396
203	101	394
204	101	393
205	101	391
206	101	390
207	102	388
208	102	386
209	102	385
210	102	383
211	102	382
212	103	380
213	103	379
214	103	377
215	103	376
216	104	375
217	104	374
218	104	372
219	104	371
220	105	370
221	105	369
222	105	367
223	105	366
224	105	364
225	106	363
226	106	362
227	106	360
228	106	359
229	106	358
230	107	356
231	107	355
232	107	354
233	107	352
234	107	351
235	108	350
236	108	348
237	108	347
238	108	346
239	108	344
240	109	343
241	109	342
242	109	341
243	109	339
244	109	338
245	110	337
246	110	336
247	110	335
248	110	334
249	111	333
250	111	331
251	111	330
252	111	329
253	111	328
254	112	327
255	112	326
256	112	325
257	112	324
258	112	323
259	113	322
260	113	320
261	113	319
262	113	318
263	113	317
264	114	316
265	114	315
266	114	314
267	114	313
268	114	312
269	115	311
270	115	310
271	115	309
272	115	308
273	115	307
274	116	306
275	116	305
276	116	304
277	116	303
278	116	302
279	117	301
280	117	300
281	117	299
282	117	298
283	117	297
284	118	296
285	118	295
286	118	294
287	118	293
288	118	292
289	119	291
290	119	290
291	119	290
292	119	289
293	120	288
294	120	287
295	120	286
296	120	285
297	120	284
298	121	283
299	121	282
300	121	281
301	121	281
302	121	280
303	122	279
304	122	278
305	122	277
306	122	276
307	122	275
308	123	275
309	123	274
310	123	273
311	123	272
312	123	271
313	123	270
314	124	269
315	124	269
316	124	268
317	124	267
318	124	266
319	125	265
320	125	265
321	125	264
322	125	263
323	125	262
324	126	261
325	126	261
326	126	260
327	126	259
328	126	258
329	127	258
330	127	257
331	127	256
332	127	256
333	128	255
334	128	254
335	128	253
336	128	253
337	128	252
338	128	251
339	129	250
340	129	250
341	129	249
342	129	248
343	129	247
